customer_id,customer_name,email,phone_number,address
1,John Doe,john@example.com,123-456-7890,123 Maple St
2,Jane Smith,jane@example.com,123-555-7890,456 Oak St
3,Michael Brown,michael@example.com,123-666-7890,789 Pine St
4,Emily Davis,emily@example.com,123-777-7890,321 Elm St
5,Chris Johnson,chris@example.com,123-888-7890,654 Cedar St
6,Sarah Williams,sarah@example.com,123-999-7890,987 Birch St
7,David Wilson,david@example.com,124-000-7890,654 Willow St
8,Jessica Taylor,jessica@example.com,124-111-7890,321 Chestnut St
9,Daniel Anderson,daniel@example.com,124-222-7890,852 Maple St
10,Laura Thomas,laura@example.com,124-333-7890,147 Spruce St
11,Kevin Martinez,kevin@example.com,124-444-7890,258 Walnut St
12,Megan Lee,megan@example.com,124-555-7890,369 Pine St
13,Brian Clark,brian@example.com,124-666-7890,159 Oak St
14,Ashley Rodriguez,ashley@example.com,124-777-7890,753 Maple St
15,Jason Lewis,jason@example.com,124-888-7890,951 Cedar St
16,Amy Walker,amy@example.com,124-999-7890,753 Birch St
17,Andrew Hall,andrew@example.com,125-000-7890,258 Spruce St
18,Karen Young,karen@example.com,125-111-7890,147 Chestnut St
19,Charles King,charles@example.com,125-222-7890,369 Willow St
20,Nicole Scott,nicole@example.com,125-333-7890,258 Elm St
21,Stephen Green,stephen@example.com,125-444-7890,951 Maple St
22,Rebecca Adams,rebecca@example.com,125-555-7890,753 Cedar St
23,Timothy Nelson,timothy@example.com,125-666-7890,159 Birch St
24,Megan Hall,megan.hall@example.com,125-777-7890,321 Spruce St
25,Benjamin Clark,benjamin@example.com,125-888-7890,456 Oak St
26,Laura Scott,laura.scott@example.com,125-999-7890,123 Pine St
27,Zachary Turner,zachary@example.com,126-000-7890,654 Maple St
28,Julia Wright,julia@example.com,126-111-7890,987 Cedar St
29,Anthony Harris,anthony@example.com,126-222-7890,258 Elm St
30,Rachel Lewis,rachel@example.com,126-333-7890,369 Oak St
31,Mark Young,mark@example.com,126-444-7890,147 Spruce St
32,Angela White,angela@example.com,126-555-7890,753 Maple St
33,Thomas King,thomas@example.com,126-666-7890,951 Birch St
34,Christina Lopez,christina@example.com,126-777-7890,159 Cedar St
35,Gary Hall,gary@example.com,126-888-7890,258 Elm St
36,Emily Wilson,emily.wilson@example.com,126-999-7890,321 Pine St
37,Jason Clark,jason.clark@example.com,127-000-7890,654 Oak St
38,Patricia Davis,patricia@example.com,127-111-7890,987 Maple St
39,Larry Lewis,larry@example.com,127-222-7890,123 Cedar St
40,Cynthia Smith,cynthia@example.com,127-333-7890,369 Birch St
41,Timothy Martinez,timothy.martinez@example.com,127-444-7890,147 Spruce St
42,Dorothy Young,dorothy@example.com,127-555-7890,753 Oak St
43,Patricia White,patricia.white@example.com,127-666-7890,951 Maple St
44,Susan Johnson,susan@example.com,127-777-7890,159 Cedar St
45,Joe Brown,joe@example.com,127-888-7890,258 Elm St
46,Donald Smith,donald@example.com,127-999-7890,321 Pine St
47,Kimberly Johnson,kimberly@example.com,128-000-7890,654 Oak St
48,George Brown,george@example.com,128-111-7890,987 Maple St
49,Melissa Green,melissa@example.com,128-222-7890,123 Cedar St
50,Ronald Thompson,ronald@example.com,128-333-7890,369 Birch St
